,num_rooms,num_ratings,avg_rating,name
75744,3.0,131.0,3.0,María
581097,1.0,37.0,5.0,Francesc
656380,1.0,146.0,5.0,Juan&Luisa
677135,1.0,0.0,0.0,Silvia
763897,1.0,177.0,5.0,Gabriel
805474,1.0,28.0,4.5,Joan
1003959,1.0,4.0,5.0,Catalina
1051458,1.0,22.0,4.0,Marie
1300932,2.0,46.0,4.25,Florencia
1458521,1.0,53.0,5.0,Carmen
1610457,8.0,426.0,4.6875,Kirill
1731210,11.0,229.0,4.40909090909,Can Avall - Apartments & Rooms
1918238,3.0,20.0,4.83333333333,Salva
2012322,1.0,147.0,5.0,Javier
2052511,11.0,47.0,1.54545454545,Joan
2115973,2.0,7.0,2.5,Raquel
2184474,2.0,181.0,4.5,Gerard
2195138,1.0,94.0,4.5,Klaus
2241080,3.0,67.0,3.0,Eric
2288488,2.0,100.0,2.25,Caty
2297777,6.0,228.0,4.0,Pili
2370279,1.0,145.0,4.5,Libertad
2381033,1.0,179.0,5.0,Maria
2404497,1.0,7.0,4.5,María
2421852,1.0,80.0,4.5,Mercedes
2532236,8.0,192.0,4.0,Mireya
2694897,5.0,898.0,4.7,Bartolome
2825865,2.0,83.0,5.0,Paquita
2864668,1.0,82.0,5.0,Csaba
2871929,2.0,64.0,4.75,Isabel
3032109,2.0,35.0,4.25,Marie
3275294,1.0,0.0,0.0,Jose
3296019,20.0,76.0,1.325,Marc
3356643,1.0,38.0,4.5,Pere&Marga
3455703,11.0,0.0,0.0,Dominique
3500571,2.0,29.0,4.75,Xisca
3526550,2.0,70.0,4.5,Vicente
3633994,2.0,129.0,5.0,Alba
4141130,1.0,51.0,4.5,Justo
4200246,20.0,380.0,4.725,Pepe
4281125,1.0,54.0,5.0,Jan
4340867,3.0,309.0,4.83333333333,Ariane
4348156,1.0,47.0,5.0,Chalz
4710905,1.0,28.0,4.5,Peter
5045139,1.0,129.0,4.5,Victoria
5070073,7.0,39.0,3.0,Soledad
5182659,3.0,11.0,1.33333333333,Marga
5208751,10.0,73.0,2.4,Antonia
